From,To,TransportMode,Year,Flow
CaptureSite4,CaptureSite3,rail,21,0.0
CaptureSite4,CaptureSite3,rail,22,0.0
CaptureSite4,CaptureSite3,rail,23,0.0
CaptureSite4,CaptureSite3,rail,24,0.0
CaptureSite4,CaptureSite3,rail,25,0.0
CaptureSite4,CaptureSite3,pipeline,0,0.0
CaptureSite4,CaptureSite3,pipeline,1,0.0
CaptureSite4,CaptureSite3,pipeline,2,0.0
CaptureSite4,CaptureSite3,pipeline,3,0.0
CaptureSite4,CaptureSite3,pipeline,4,0.0
CaptureSite4,CaptureSite3,pipeline,5,0.0
CaptureSite4,CaptureSite3,pipeline,6,0.0
CaptureSite4,CaptureSite3,pipeline,7,0.0
CaptureSite4,CaptureSite3,pipeline,8,0.0
CaptureSite4,CaptureSite3,pipeline,9,0.0
CaptureSite4,CaptureSite3,pipeline,10,0.0
CaptureSite4,CaptureSite3,pipeline,11,0.0
CaptureSite4,CaptureSite3,pipeline,12,0.0
CaptureSite4,CaptureSite3,pipeline,13,0.0
CaptureSite4,CaptureSite3,pipeline,14,0.0
CaptureSite4,CaptureSite3,pipeline,15,0.0
CaptureSite4,CaptureSite3,pipeline,16,0.0
CaptureSite4,CaptureSite3,pipeline,17,0.0
CaptureSite4,CaptureSite3,pipeline,18,0.0
CaptureSite4,CaptureSite3,pipeline,19,0.0
CaptureSite4,CaptureSite3,pipeline,20,0.0
CaptureSite4,CaptureSite3,pipeline,21,0.0
CaptureSite4,CaptureSite3,pipeline,22,0.0
CaptureSite4,CaptureSite3,pipeline,23,0.0
CaptureSite4,CaptureSite3,pipeline,24,0.0
CaptureSite4,CaptureSite3,pipeline,25,0.0
StorageSite1,CaptureSite1,truck,0,0.0
StorageSite1,CaptureSite1,truck,1,0.0
StorageSite1,CaptureSite1,truck,2,0.0
StorageSite1,CaptureSite1,truck,3,0.0
StorageSite1,CaptureSite1,truck,4,0.0
StorageSite1,CaptureSite1,truck,5,0.0
StorageSite1,CaptureSite1,truck,6,0.0
StorageSite1,CaptureSite1,truck,7,0.0
StorageSite1,CaptureSite1,truck,8,0.0
StorageSite1,CaptureSite1,truck,9,0.0
StorageSite1,CaptureSite1,truck,10,0.0
StorageSite1,CaptureSite1,truck,11,0.0
StorageSite1,CaptureSite1,truck,12,0.0
StorageSite1,CaptureSite1,truck,13,0.0
StorageSite1,CaptureSite1,truck,14,0.0
StorageSite1,CaptureSite1,truck,15,0.0
StorageSite1,CaptureSite1,truck,16,0.0
StorageSite1,CaptureSite1,truck,17,0.0
StorageSite1,CaptureSite1,truck,18,0.0
StorageSite1,CaptureSite1,truck,19,0.0
StorageSite1,CaptureSite1,truck,20,0.0
StorageSite1,CaptureSite1,truck,21,0.0
StorageSite1,CaptureSite1,truck,22,0.0
StorageSite1,CaptureSite1,truck,23,0.0
StorageSite1,CaptureSite1,truck,24,-5.2878279857050905e-12
StorageSite1,CaptureSite1,truck,25,0.0
StorageSite1,CaptureSite1,rail,0,0.0
StorageSite1,CaptureSite1,rail,1,0.0
StorageSite1,CaptureSite1,rail,2,0.0
StorageSite1,CaptureSite1,rail,3,0.0
StorageSite1,CaptureSite1,rail,4,0.0
StorageSite1,CaptureSite1,rail,5,0.0
StorageSite1,CaptureSite1,rail,6,0.0
StorageSite1,CaptureSite1,rail,7,0.0
StorageSite1,CaptureSite1,rail,8,0.0
StorageSite1,CaptureSite1,rail,9,0.0
StorageSite1,CaptureSite1,rail,10,0.0
StorageSite1,CaptureSite1,rail,11,0.0
StorageSite1,CaptureSite1,rail,12,0.0
StorageSite1,CaptureSite1,rail,13,0.0
StorageSite1,CaptureSite1,rail,14,0.0
StorageSite1,CaptureSite1,rail,15,0.0
StorageSite1,CaptureSite1,rail,16,0.0
StorageSite1,CaptureSite1,rail,17,0.0
StorageSite1,CaptureSite1,rail,18,0.0
StorageSite1,CaptureSite1,rail,19,0.0
StorageSite1,CaptureSite1,rail,20,0.0
StorageSite1,CaptureSite1,rail,21,0.0
StorageSite1,CaptureSite1,rail,22,0.0
StorageSite1,CaptureSite1,rail,23,0.0
StorageSite1,CaptureSite1,rail,24,0.0
StorageSite1,CaptureSite1,rail,25,0.0
StorageSite1,CaptureSite1,pipeline,0,19.999999999999822
StorageSite1,CaptureSite1,pipeline,1,20.0
StorageSite1,CaptureSite1,pipeline,2,20.0
StorageSite1,CaptureSite1,pipeline,3,20.0
StorageSite1,CaptureSite1,pipeline,4,20.0
StorageSite1,CaptureSite1,pipeline,5,20.0
StorageSite1,CaptureSite1,pipeline,6,20.000000000002736
StorageSite1,CaptureSite1,pipeline,7,20.0
StorageSite1,CaptureSite1,pipeline,8,20.0
StorageSite1,CaptureSite1,pipeline,9,20.0
StorageSite1,CaptureSite1,pipeline,10,20.0
StorageSite1,CaptureSite1,pipeline,11,20.0
StorageSite1,CaptureSite1,pipeline,12,20.0
StorageSite1,CaptureSite1,pipeline,13,20.0
StorageSite1,CaptureSite1,pipeline,14,20.0
StorageSite1,CaptureSite1,pipeline,15,20.0
StorageSite1,CaptureSite1,pipeline,16,19.99999999999767
StorageSite1,CaptureSite1,pipeline,17,20.0
StorageSite1,CaptureSite1,pipeline,18,20.0
StorageSite1,CaptureSite1,pipeline,19,20.0
StorageSite1,CaptureSite1,pipeline,20,20.0
StorageSite1,CaptureSite1,pipeline,21,20.0
StorageSite1,CaptureSite1,pipeline,22,20.0
StorageSite1,CaptureSite1,pipeline,23,20.0
StorageSite1,CaptureSite1,pipeline,24,20.000000000005286
StorageSite1,CaptureSite1,pipeline,25,19.99999999999963
StorageSite1,CaptureSite2,truck,0,-1.90740389579901e-12
StorageSite1,CaptureSite2,truck,1,0.0
StorageSite1,CaptureSite2,truck,2,0.0
StorageSite1,CaptureSite2,truck,3,0.0
StorageSite1,CaptureSite2,truck,4,0.0
StorageSite1,CaptureSite2,truck,5,0.0
StorageSite1,CaptureSite2,truck,6,0.0
StorageSite1,CaptureSite2,truck,7,0.0
StorageSite1,CaptureSite2,truck,8,0.0
StorageSite1,CaptureSite2,truck,9,0.0
StorageSite1,CaptureSite2,truck,10,0.0
StorageSite1,CaptureSite2,truck,11,0.0
StorageSite1,CaptureSite2,truck,12,-1.388707698694137e-12
StorageSite1,CaptureSite2,truck,13,0.0
StorageSite1,CaptureSite2,truck,14,0.0
StorageSite1,CaptureSite2,truck,15,0.0
StorageSite1,CaptureSite2,truck,16,0.0
StorageSite1,CaptureSite2,truck,17,0.0
StorageSite1,CaptureSite2,truck,18,0.0
StorageSite1,CaptureSite2,truck,19,0.0
StorageSite1,CaptureSite2,truck,20,0.0
StorageSite1,CaptureSite2,truck,21,0.0
StorageSite1,CaptureSite2,truck,22,-1.6906883613921796e-12
StorageSite1,CaptureSite2,truck,23,0.0
StorageSite1,CaptureSite2,truck,24,0.0
StorageSite1,CaptureSite2,truck,25,0.0
StorageSite1,CaptureSite2,rail,0,0.0
StorageSite1,CaptureSite2,rail,1,0.0
StorageSite1,CaptureSite2,rail,2,0.0
StorageSite1,CaptureSite2,rail,3,0.0
StorageSite1,CaptureSite2,rail,4,0.0
StorageSite1,CaptureSite2,rail,5,0.0
StorageSite1,CaptureSite2,rail,6,0.0
StorageSite1,CaptureSite2,rail,7,0.0
StorageSite1,CaptureSite2,rail,8,0.0
StorageSite1,CaptureSite2,rail,9,0.0
StorageSite1,CaptureSite2,rail,10,0.0
StorageSite1,CaptureSite2,rail,11,0.0
StorageSite1,CaptureSite2,rail,12,0.0
StorageSite1,CaptureSite2,rail,13,0.0
StorageSite1,CaptureSite2,rail,14,0.0
StorageSite1,CaptureSite2,rail,15,0.0
StorageSite1,CaptureSite2,rail,16,0.0
StorageSite1,CaptureSite2,rail,17,0.0
StorageSite1,CaptureSite2,rail,18,0.0
StorageSite1,CaptureSite2,rail,19,0.0
StorageSite1,CaptureSite2,rail,20,0.0
StorageSite1,CaptureSite2,rail,21,0.0
StorageSite1,CaptureSite2,rail,22,0.0
StorageSite1,CaptureSite2,rail,23,0.0
StorageSite1,CaptureSite2,rail,24,0.0
StorageSite1,CaptureSite2,rail,25,0.0
StorageSite1,CaptureSite2,pipeline,0,250.0000000000019
StorageSite1,CaptureSite2,pipeline,1,137.60000000000167
StorageSite1,CaptureSite2,pipeline,2,115.20000000000005
StorageSite1,CaptureSite2,pipeline,3,250.00000000000193
StorageSite1,CaptureSite2,pipeline,4,70.40000000000003
StorageSite1,CaptureSite2,pipeline,5,47.99999999999852
StorageSite1,CaptureSite2,pipeline,6,250.00000000000193
StorageSite1,CaptureSite2,pipeline,7,25.0
StorageSite1,CaptureSite2,pipeline,8,25.0
StorageSite1,CaptureSite2,pipeline,9,25.0
StorageSite1,CaptureSite2,pipeline,10,25.0
